date,home_team,away_team,home_score,away_score,tournament,location,home_elo_rating,away_elo_rating,home_elo_rank,away_elo_rank
2023-08-31,Reunion,Mauritius,2,1,Indian Ocean Games,Madagascar,1360,996,116,187
2023-08-31,Madagascar,Comoros,4,2,Indian Ocean Games,Madagascar,1258,1216,150,157
2023-09-02,Mauritius,Comoros,2,0,Indian Ocean Games,Madagascar,1031,1181,186,162
2023-09-02,Madagascar,Reunion,1,0,Indian Ocean Games,Madagascar,1273,1345,144,117
2023-09-03,Guatemala,Honduras,0,0,Friendly,the United States,1497,1492,82,85
2023-09-03,Bangladesh,Afghanistan,0,0,Friendly,Bangladesh,904,1087,198,178
2023-09-04,Zimbabwe,Namibia,2,2,Friendly,Zimbabwe,1312,1371,131,113
2023-09-06,Oman,Palestine,2,1,Friendly,Oman,1580,1431,64,96
2023-09-06,Malta,Gibraltar,1,0,Friendly,Malta,1269,1062,147,181
2023-09-06,Malaysia,Syria,2,2,Friendly,China,1288,1410,138,102
2023-09-06,Macao,Bhutan,0,1,Friendly,Macao,672,569,224,235
2023-09-06,Libya,Equatorial Guinea,1,1,African Nations Cup qual,Libya,1328,1494,123,84
2023-09-07,Wales,South Korea,0,0,Friendly,Wales,1660,1760,48,32
2023-09-07,Thailand,Lebanon,2,1,King's Cup,Thailand,1385,1300,111,136
2023-09-07,Qatar,Kenya,1,2,Friendly,Qatar,1507,1362,79,116
2023-09-07,Norway,Jordan,6,0,Friendly,Norway,1735,1589,35,62
2023-09-07,Kuwait,Bahrain,3,1,Friendly,the United Arab Emirates,1405,1482,104,86
2023-09-07,India,Iraq,2,2,King's Cup,Thailand,1282,1606,142,60
2023-09-07,Cambodia,Hong Kong,1,1,Friendly,Cambodia,868,1118,203,172
2023-09-07,Bulgaria,Iran,0,1,Friendly,Bulgaria,1492,1807,83,25
2023-09-07,Bangladesh,Afghanistan,1,1,Friendly,Bangladesh,906,1085,198,178
2023-09-07,Austria,Moldova,1,1,Friendly,Austria,1785,1288,28,138
2023-09-07,Tunisia,Botswana,3,0,African Nations Cup qual,Tunisia,1732,1348,36,117
2023-09-07,Niger,Uganda,0,2,African Nations Cup qual,Morocco,1207,1394,157,108
2023-09-07,Ghana,Central African Republic,2,1,African Nations Cup qual,Ghana,1584,1316,63,130
2023-09-07,Angola,Madagascar,0,0,African Nations Cup qual,Angola,1386,1284,109,141
2023-09-07,Algeria,Tanzania,0,0,African Nations Cup qual,Algeria,1693,1342,44,119
2023-09-07,Slovenia,Northern Ireland,4,2,European Champ qual,Slovenia,1672,1479,47,88
2023-09-07,Serbia,Hungary,1,2,European Champ qual,Serbia,1827,1848,24,18
2023-09-07,Poland,Faroe Islands,2,0,European Champ qual,Poland,1760,1279,32,143
2023-09-07,Netherlands,Greece,3,0,European Champ qual,the Netherlands,1963,1686,9,45
2023-09-07,Lithuania,Montenegro,2,2,European Champ qual,Lithuania,1272,1538,146,70
2023-09-07,Kazakhstan,Finland,0,1,European Champ qual,Kazakhstan,1437,1706,95,42
2023-09-07,France,Ireland,2,0,European Champ qual,France,2116,1657,2,49
2023-09-07,Denmark,San Marino,4,0,European Champ qual,Denmark,1851,780,16,212
2023-09-07,Czechia,Albania,1,1,European Champ qual,Czechia,1787,1577,27,66
2023-09-07,US Virgin Islands,Cayman Islands,2,2,CONCACAF Nat League C,the US VirgIslands,639,825,227,207
2023-09-07,Anguilla,Saint Martin,0,6,CONCACAF Nat League C,Anguilla,584,859,232,205
2023-09-07,Saint Lucia,Sint Maarten,5,1,CONCACAF Nat League B,Curaçao,1081,817,179,208
2023-09-07,Saint Kitts and Nevis,Guadeloupe,1,2,CONCACAF Nat League B,Saint Kitts and Nevis,1152,1324,166,126
2023-09-07,Trinidad and Tobago,Curaçao,1,0,CONCACAF Nat League A,Trinidad and Tobago,1384,1323,112,128
2023-09-07,Panama,Martinique,3,0,CONCACAF Nat League A,Panama,1708,1413,40,101
2023-09-07,Guatemala,El Salvador,2,0,CONCACAF Nat League A,Guatemala,1517,1454,77,91
2023-09-07,Paraguay,Peru,0,0,World Cup qualifier,Paraguay,1721,1841,39,19
2023-09-07,Colombia,Venezuela,1,0,World Cup qualifier,Colombia,1956,1695,11,43
2023-09-07,Argentina,Ecuador,1,0,World Cup qualifier,Argentina,2152,1849,1,17
2023-09-08,Taiwan,Philippines,1,1,Friendly,Taiwan,925,1034,195,183
2023-09-08,Singapore,Tajikistan,0,2,Friendly,Singapore,1126,1337,169,120
2023-09-08,Myanmar,Nepal,0,0,Friendly,Myanmar,912,941,197,194
2023-09-08,Indonesia,Turkmenistan,2,0,Friendly,Indonesia,1296,1229,138,154
2023-09-08,Costa Rica,Saudi Arabia,3,1,Friendly,England,1649,1562,50,67
2023-09-08,Mali,South Sudan,4,0,African Nations Cup qual,Mali,1610,1114,58,175
2023-09-08,Egypt,Ethiopia,1,0,African Nations Cup qual,Egypt,1686,1313,45,131
2023-09-08,Burkina Faso,Eswatini,0,0,African Nations Cup qual,Morocco,1554,1286,69,142
2023-09-08,Turkey,Armenia,1,1,European Champ qual,Turkey,1713,1512,39,78
2023-09-08,Slovakia,Portugal,0,1,European Champ qual,Slovakia,1612,2018,56,4
2023-09-08,Luxembourg,Iceland,3,1,European Champ qual,Luxembourg,1506,1475,81,88
2023-09-08,Georgia,Spain,1,7,European Champ qual,Georgia,1633,2006,52,7
